Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Phone Number,Transaction ID
1,55,1,2,1,53,16,0,7,3,3.1,1,2,1,1,1,14,5,3,8135650404,370
2,19,1,23,1,64,18,0,12,3,3.1,1,0,1,1,1,2,1,3,3116987297,2308
3,50,1,11,1,73,20,2,12,1,3.1,1,1,2,1,1,23,2,6,9681388623,2515
4,21,1,14,2,90,38,1,12,1,3.5,1,4,3,1,1,49,4,6,7977697679,1004
5,45,1,2,1,49,36,1,21,1,2.7,1,1,2,1,1,31,4,0,8122527968,617
7,63,1,16,1,85,25,1,7,0,3.2,1,3,2,1,1,49,1,5,2743407665,2666
8,27,1,18,1,34,17,0,4,3,3.2,1,3,2,1,1,19,2,6,4172751655,1058
10,57,1,7,0,31,24,1,16,1,4.8,1,4,0,1,1,4,1,5,917117225,3699
11,53,1,17,2,34,3,0,17,0,4.1,1,2,5,1,1,26,0,1,6135299582,1423
12,30,1,18,1,68,10,2,13,3,4.9,1,4,5,1,1,10,0,3,3720232258,3057
13,61,1,4,3,72,7,1,6,3,4.5,1,4,1,1,1,37,5,3,5115400647,3342
14,65,1,5,1,51,28,1,22,1,4.7,1,3,1,1,1,31,4,6,8930650424,1192
15,64,1,4,3,53,31,0,20,3,4.7,1,4,2,1,1,34,3,6,7284863116,3409
16,64,1,19,1,81,38,1,20,3,2.8,1,2,5,1,1,8,4,4,346852070,1930
17,25,1,22,0,36,0,2,7,1,4.1,1,5,3,1,1,44,3,1,5938327207,2565
18,53,1,5,1,38,23,3,10,3,4.7,1,3,0,1,1,36,5,5,9434224596,2169
19,52,1,23,1,48,25,2,1,2,4.6,1,0,2,1,1,17,1,6,3181638864,1336
20,66,1,13,1,90,38,1,8,2,3.3,1,5,4,1,1,46,3,1,1707637558,2141
21,21,1,13,1,51,17,1,1,3,2.8,1,2,1,1,1,50,1,2,3858904335,2199
22,31,1,13,1,62,32,1,4,3,4.1,1,2,5,1,1,22,3,5,719013698,1573
23,56,1,13,1,37,4,1,15,2,3.2,1,1,5,1,1,32,3,0,9595112967,2943
24,31,1,13,1,88,35,3,23,3,4.4,1,2,1,1,1,40,2,6,1955736029,1767
26,18,1,9,1,25,42,1,19,2,3.6,1,0,1,1,1,14,4,0,9934598586,3615
27,38,1,12,0,20,27,1,18,1,3.6,1,1,3,1,1,13,2,0,2874793876,1170
